jobid,name,alpha,beta,M1,M2,P,Z,status,date,computation_time,TimeSteps,age,M1f,M2f,Pf,lg_mdot_M1,lg_mdot_M2,lg_mdot_thermal_tau100,lg_mdot_thermal_tau1000,lg_mdot_dynamical_tau100,lg_mdot_dynamical_tau1000,err_msg,stop_criteria,primary_flag
1392674,BG00001200,0.0,0.0,20.7556982986,21.4267033219,6.775798313,0.00430234540544,completed,20160606,1.124881388888889,6462.0,10.026271499171493,20.803028575850504,17.149011318016306,8.75187522507736,-7.222174835186471,-3.669189894873671,-4.270358765567029,-4.271714697984295,-4.270358765567029,-4.271714697984295,none,4,3
1392675,BG00001201,0.0,0.0,21.5190499731,12.8832756374,132.358102696,0.00268406154353,completed,20160606,0.043130555555555554,475.0,20.075415700435357,21.51909069130688,12.674303523460333,136.6597381181989,-7.255902939183771,-3.117934572293044,-3.076127840235513,-3.079376989407066,-3.076127840235513,-3.079376989407066,none,4,3
1392676,BG00001202,0.0,0.0,10.2692696218,7.17195842997,0.200600238601,0.0122987762982,no Single,20160606,0.000665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,4,0
1392677,BG00001203,0.0,0.0,30.5009957846,24.2199633403,170.613415874,0.0262369935874,completed,20160606,4.007381944444444,34406.0,8.92336631897019,30.51228645717675,18.53818958771316,236.99408148845166,-98.99999999999999,-4.823084225106243,-4.6070794149438425,-4.622036388576935,-4.6070794149438425,-4.622036388576935,none,-2,-1
1392678,BG00001204,0.0,0.0,21.6876521008,2.13247799231,351.542921159,0.00796430097909,completed,20160606,7.652815555555556,31781.0,1146.3617147796892,21.713019229223956,1.1110383163049515,2036.592751128854,-7.03039625325343,-1.9917868023328598,-1.3812391159731838,-1.386472554321367,-1.3812391159731838,-1.386472554321367,none,4,3
1392679,BG00001205,0.0,0.0,48.8439720148,28.6809235482,0.555385051073,0.0025948628972,completed,20160606,0.001106388888888889,1.0,2.2699545956877344e-05,48.8439720148,28.6809235482,0.5553850510729977,-98.99999999999999,-98.99999999999999,-3.2361513448734196,-3.239193528128551,-3.2361513448734196,-3.239193528128551,none,1,1
1392680,BG00001206,0.0,0.0,20.9333470067,2.41582381806,92.6007755967,0.00590084088092,error,20160606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*** JOB 1392680 ON node100 CANCE,0,0
1392681,BG00001207,0.0,0.0,5.9191880972,5.30242911274,0.282791359543,0.0261935931305,no Single,20160606,0.0006222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,4,0
1392682,BG00001208,0.0,0.0,3.60540884386,4.17091305209,10.8446305625,0.00426571360227,completed,20160606,2.0869244444444446,17017.0,192.61387476186292,3.6214511217828704,2.758864018793796,17.140649501503304,-7.812025357373444,-4.65965346194597,-3.915777113083707,-3.9186535362527337,-3.915777113083707,-3.9186535362527337,none,-2,-1
1392683,BG00001209,0.0,0.0,45.469763738,21.0654730483,0.132644851874,0.0087279044753,completed,20160606,0.0008752777777777778,1.0,4.909892230218805e-05,45.469763738,21.0654730483,0.13264485187399896,-98.99999999999999,-98.99999999999999,-3.405625233512821,-3.4086221245710178,-3.405625233512821,-3.4086221245710178,none,1,1
1392684,BG00001210,0.0,0.0,44.8552018377,4.15873557934,0.188873918225,0.00582365480306,completed,20160606,0.0009491666666666666,1.0,0.002835285064548274,44.855201837699994,4.15873557934,0.18887391822499847,-98.99999999999999,-98.99999999999999,-4.573821344675308,-4.578766269829121,-4.573821344675308,-4.578766269829121,none,1,1
1392685,BG00001211,0.0,0.0,23.8221446446,28.4317528845,0.130226311963,0.000151666974236,completed,20160606,0.0017261111111111112,1.0,2.3200156287411704e-05,23.8221446446,28.431752884500003,0.1302263119629996,-98.99999999999999,-98.99999999999999,-3.155742377198487,-3.159384629204862,-3.155742377198487,-3.159384629204862,none,1,1
1392686,BG00001212,0.0,0.0,14.3209672675,11.2692945785,93.621197365,0.00262523565358,completed,20160606,0.04926111111111112,502.0,24.932016485219087,14.320999317491868,10.938422195792096,98.03563794127062,-7.432763850187558,-3.023630738118433,-3.087141219250586,-3.0908154071278897,-3.087141219250586,-3.0908154071278897,none,4,3
1392687,BG00001213,0.0,0.0,28.7857494145,4.66887207217,67.5704768815,0.0197873379607,completed,20160606,7.654914444444445,99999.0,189.7010087378677,28.802856046048582,3.064233995562691,206.97341437431746,-98.99999999999999,-6.9999643035615575,-4.454573365257265,-4.462012053855216,-4.454573365257265,-4.462012053855216,none,3,4
1392688,BG00001214,0.0,0.0,32.8317799641,23.5744328438,12.1578823162,0.00205628239175,completed,20160606,0.4549141666666667,3112.0,8.89483159285266,32.873046671479024,19.391754884567817,16.764289373537043,-7.053642554669506,-3.8868528554553787,-4.171292828857145,-4.171685805980249,-4.171292828857145,-4.171685805980249,none,4,3
1392689,BG00001215,0.0,0.0,3.73230816235,11.0103924446,3.04307656604,0.000302972427364,completed,20160606,7.8682,42765.0,25.89779113474837,3.745579441736743,7.8354017484171585,1.0887888789984652,-7.880568331392546,-3.8250139112570474,-5.853519337229346,-5.810014379205968,-5.853519337229346,-5.810014379205968,none,4,3
1392690,BG00001216,0.0,0.0,22.0796125671,3.54530574291,13.043507686,0.00217192262855,completed,20160606,2.812066944444444,7800.0,262.49069116318697,22.08809690407441,1.6954768703969698,105.0994064456579,-7.010966584241448,-1.889927606444165,-2.255142715021839,-2.2679396980698057,-2.255142715021839,-2.2679396980698057,none,4,3
